data_size(MB),time(ms)
15,0.373
10,0.300
20,0.730
30,0.652
40,0.836
256,4.333
276,4.719
384,6.365
50,1.639
1002,25.306
25,0.562
128,2.320
143,2.579
192,3.357
5,0.203
502,13.149
148,2.654
35,0.748
7,0.234
17,0.430
64,1.272
76,2.396
96,1.804
2,0.151
12,0.321
250,6.985
84,1.597
27,0.949
13,0.355
32,0.691
43,0.897
48,0.982
1,0.152
11,0.443
126,2.290
52,1.062
28,0.621
18,0.444
23,0.814
8,0.267
60,1.190
80,2.519
512,8.509
552,9.136
768,12.643
100,3.065
2004,49.662
286,4.843
296,5.078
70,1.354
153,2.723
168,2.985
55,1.779
86,1.643
22,0.804
104,1.931
57,1.852
37,0.792
47,1.548
120,2.187
160,2.821
1024,16.809
1104,17.982
1536,24.657
200,5.677
4008,97.550
572,9.409
592,9.709
140,4.106
306,5.186
336,5.591
110,3.309
173,3.085
45,0.928
208,3.610
115,3.462
75,1.456
95,2.889
240,4.176
320,5.438
2048,33.031
2208,35.610
3072,49.646
400,10.644
8016,1000000000.000
1144,18.934
1184,18.789
280,4.800
612,9.962
672,11.173
220,6.165
346,5.859
90,1.691
416,6.903
230,6.444
150,2.699
190,5.354
