data_size(MB),time(ms)
6,3.521
4,2.392
8,4.658
12,6.844
16,8.785
128,87.805
136,93.478
192,132.404
20,35.306
392,871.529
10,5.858
64,43.103
70,47.085
96,64.892
2,1.243
196,429.862
72,48.280
14,7.574
3,2.107
7,4.098
32,20.480
37,24.117
48,31.488
1,0.642
5,2.943
98,207.723
40,25.642
11,6.289
24,15.474
0,0.339
50,100.584
9,13.335
256,176.681
272,188.776
384,266.614
786,1719.255
140,302.795
144,97.851
28,17.564
74,49.753
80,118.846
22,13.283
41,26.420
23,14.278
15,8.211
19,25.592
512,356.135
544,377.835
768,535.809
1572,1000000000.000
280,194.038
288,199.457
56,37.321
148,101.522
160,109.937
44,28.317
82,55.465
18,9.637
46,29.748
30,18.876
38,24.801
1024,711.993
1088,1000000000.000
1536,1000000000.000
3142,1000000000.000
560,389.944
576,401.017
112,76.660
296,204.675
320,221.949
88,58.689
164,112.385
36,23.400
92,62.151
60,40.086
76,108.083
