data_size(MB),time(ms)
15,0.583
10,0.432
20,1.011
30,1.094
40,1.430
256,8.198
276,9.470
384,12.043
50,2.399
1002,43.466
25,0.932
128,4.482
143,4.726
192,6.246
5,0.239
502,22.136
148,4.888
35,1.266
7,0.307
17,0.674
64,2.215
76,3.577
96,3.255
2,0.140
12,0.504
250,11.214
84,2.989
27,1.364
13,0.542
32,1.158
43,1.546
48,1.707
1,0.115
11,0.461
126,4.246
52,1.847
28,1.062
18,0.691
23,0.872
8,0.348
60,2.099
80,3.796
512,16.009
552,17.272
768,24.317
100,4.666
2004,86.779
286,9.033
296,9.581
70,2.428
153,5.055
168,5.471
55,2.632
86,2.945
22,0.838
104,3.496
57,2.749
37,1.332
47,1.722
120,4.028
160,5.253
1024,31.820
1104,33.983
1536,48.131
200,8.982
4008,1000000000.000
572,17.729
592,18.641
140,6.386
306,9.725
336,10.635
110,5.069
173,5.684
45,1.618
208,6.800
115,5.293
75,2.587
95,3.277
240,7.802
320,10.183
2048,61.560
2208,1000000000.000
3072,1000000000.000
400,17.763
8016,1000000000.000
1144,34.820
1184,36.106
280,9.032
612,19.389
672,21.133
220,9.868
346,11.138
90,3.091
416,13.013
230,10.233
150,4.946
190,6.297
