data_size(MB),time(ms)
6,4.400
4,2.967
8,5.844
12,8.763
16,11.608
128,92.117
136,97.882
192,138.111
20,20.020
392,387.208
10,7.620
64,46.062
70,50.437
96,69.151
2,1.505
196,193.778
72,51.854
14,10.143
3,2.575
7,5.105
32,23.104
37,26.698
48,34.755
1,0.786
5,3.676
98,96.736
40,28.772
11,7.995
24,17.702
0,0.438
50,49.404
9,8.771
256,184.251
272,195.570
384,276.325
786,1000000.000
140,138.374
144,103.577
28,20.208
74,53.320
80,71.563
22,15.925
41,29.580
23,16.625
15,10.874
19,16.922
512,368.483
544,391.449
768,552.285
1572,1000000000.000
280,201.282
288,207.280
56,40.322
148,106.547
160,115.044
44,31.757
82,59.003
18,12.999
46,33.175
30,21.697
38,27.713
1024,1000000.000
1088,1000000000.000
1536,1000000000.000
3142,1000000000.000
560,402.699
576,414.335
112,80.544
296,212.931
320,230.099
88,63.377
164,117.952
36,25.933
92,66.247
60,43.228
76,67.571
