data_size(MB),time(ms)
6,1.359
4,1.133
8,1.749
12,2.443
16,3.205
128,24.130
136,25.562
192,35.987
20,4.903
392,107.321
10,2.229
64,13.203
70,13.236
96,18.119
2,0.787
196,54.094
72,13.615
14,2.813
3,0.989
7,1.613
32,6.140
37,7.089
48,9.147
1,0.578
5,1.153
98,28.852
40,8.312
11,3.410
24,4.718
0,0.490
50,13.801
9,2.988
256,47.936
272,52.190
384,71.860
786,213.897
140,33.365
144,27.039
28,5.407
74,13.997
80,23.555
22,6.571
41,7.835
23,6.857
15,3.284
19,6.434
512,95.655
544,101.603
768,143.384
1572,372.911
280,53.467
288,53.883
56,10.636
148,27.798
160,30.025
44,12.939
82,15.475
18,3.537
46,13.540
30,5.789
38,7.363
1024,191.126
1088,202.998
1536,286.577
3142,1000000.000
560,105.330
576,108.337
112,21.207
296,55.403
320,59.855
88,25.779
164,30.781
36,6.894
92,27.924
60,12.351
76,22.281
