data_size(MB),time(ms)
25,0.629
20,1.077
40,0.926
60,1.346
80,1.632
512,9.223
552,9.831
640,11.308
100,2.020
1002,18.145
30,0.858
50,1.081
256,4.732
286,5.210
320,5.871
10,0.647
502,9.227
296,5.400
70,1.464
15,0.998
35,0.815
128,2.486
153,2.943
160,3.069
5,0.284
250,4.721
168,3.216
55,1.200
120,2.336
1024,17.854
1104,19.234
1280,22.231
200,3.895
2004,35.617
572,10.221
592,10.558
140,2.700
306,5.580
336,6.136
110,2.197
240,4.439
2048,35.146
2208,37.794
2560,43.740
400,7.508
4008,68.018
1144,19.948
1184,20.600
280,5.324
612,10.928
672,11.911
220,4.237
480,8.655
4096,69.491
4416,1000000000.000
10000000,1000000000.000
800,14.659
2288,39.197
2368,40.481
560,9.970
1224,21.300
1344,23.289
440,8.232
