data_size(MB),time(ms)
25,1.988
20,1.630
40,4.598
60,4.524
80,6.094
512,36.346
552,38.977
640,45.127
100,13.633
1002,133.990
30,2.428
50,3.703
256,18.395
286,20.455
320,22.894
10,0.905
502,67.290
296,21.128
70,5.278
15,1.306
35,2.681
128,9.382
153,11.121
160,11.590
5,0.497
250,33.809
168,12.161
55,7.572
120,8.770
1024,71.993
1104,1000000000.000
1280,1000000000.000
200,27.025
2004,1000000000.000
572,40.408
592,41.807
140,10.178
306,21.801
336,23.999
110,15.106
240,17.265
2048,1000000000.000
2208,1000000000.000
2560,1000000000.000
400,53.750
4008,1000000000.000
1144,1000000000.000
1184,1000000000.000
280,37.681
612,43.096
672,47.414
220,29.785
480,33.936
4096,1000000000.000
4416,1000000000.000
10000000,1000000000.000
800,107.108
2288,1000000000.000
2368,1000000000.000
560,39.571
1224,1000000000.000
1344,1000000000.000
440,59.032
