data_size(MB),time(ms)
25,16.849
20,13.240
40,26.696
60,40.109
80,54.560
512,384.433
552,1000000000.000
640,1000000000.000
100,121.247
1002,1000000000.000
30,20.603
50,60.092
256,181.089
286,205.893
320,228.924
10,6.957
502,716.576
296,211.305
70,47.523
15,10.108
35,23.445
128,91.058
153,103.071
160,107.843
5,3.552
250,357.412
168,114.369
55,65.805
7,4.829
27,18.429
64,42.526
86,60.983
2,1.477
22,26.241
126,89.463
104,74.466
57,68.664
37,25.782
47,56.991
17,11.690
120,86.001
1024,1000000000.000
1104,1000000000.000
1280,1000000000.000
200,284.457
2004,1000000000.000
572,1000000000.000
592,1000000000.000
140,96.057
306,219.467
336,241.942
110,133.448
173,116.225
45,30.284
208,143.596
115,138.644
75,50.996
95,114.615
240,170.124
2048,1000000000.000
2208,1000000000.000
2560,1000000000.000
400,567.608
4008,1000000000.000
1144,1000000000.000
1184,1000000000.000
280,403.327
612,1000000000.000
672,1000000000.000
220,310.201
346,249.126
90,62.648
416,307.657
230,326.507
150,100.661
190,272.338
480,359.215
4096,1000000000.000
4416,1000000000.000
5120,1000000000.000
800,1000000000.000
8016,1000000000.000
2288,1000000000.000
2368,1000000000.000
560,1000000000.000
1224,1000000000.000
1344,1000000000.000
440,627.978
692,1000000000.000
180,124.917
832,1000000000.000
460,659.065
300,215.397
380,541.717
