data_size(MB),time(ms)
25,3.308
20,2.671
40,5.541
60,7.889
80,11.238
512,88.883
552,95.956
640,111.459
100,16.293
1002,179.011
30,4.029
50,7.153
256,43.694
286,48.448
320,54.590
10,1.647
502,87.906
296,50.551
70,9.427
15,2.245
35,4.734
128,20.577
153,24.946
160,26.381
5,0.832
250,43.327
168,27.507
55,7.856
7,1.115
27,3.644
64,8.660
86,12.848
2,0.402
22,3.037
126,20.247
104,16.524
57,8.271
37,5.035
47,6.737
17,2.351
120,19.082
1024,180.126
1104,194.820
1280,226.064
200,33.940
2004,358.311
572,99.543
592,103.560
140,22.508
306,52.252
336,56.273
110,18.509
173,28.093
45,6.134
208,34.460
115,19.537
75,9.895
95,15.206
240,40.518
2048,363.504
2208,391.680
2560,455.553
400,70.832
4008,703.879
1144,201.827
1184,208.940
280,49.412
612,106.461
672,117.524
220,37.543
346,59.238
90,13.541
416,71.707
230,39.340
150,24.450
190,32.490
480,82.501
4096,727.748
4416,1000000000.000
5120,1000000000.000
800,144.502
8016,1000000000.000
2288,405.173
2368,420.901
560,97.292
1224,216.044
1344,236.156
440,78.188
692,120.756
180,29.500
832,146.113
460,81.961
300,51.078
380,67.103
