data_size(MB),time(ms)
70,21.777
56,17.315
112,36.591
168,29.623
224,38.556
896,151.714
1008,169.825
1120,189.925
280,47.188
392,67.183
84,27.157
140,23.932
448,76.102
532,89.354
560,93.344
28,8.581
196,33.941
42,13.003
98,31.864
294,49.156
14,4.580
336,55.864
154,26.469
21,6.476
77,24.253
175,31.118
7,2.208
63,19.696
50,15.610
161,27.952
105,34.153
133,22.232
49,15.315
1792,302.476
2016,340.114
2240,378.410
786,131.263
1064,178.263
588,98.357
672,114.294
308,51.082
350,58.212
126,41.845
322,53.466
210,35.976
266,44.859
3584,605.835
4032,682.602
4480,1000000000.000
1572,264.563
2128,360.618
784,131.564
1176,198.928
1344,228.182
616,103.337
700,117.990
252,42.873
644,109.034
420,71.936
7168,1000000000.000
8064,1000000000.000
10000000,1000000000.000
3142,528.919
4256,1000000000.000
1568,264.765
2352,397.720
2688,454.672
1232,207.069
1400,236.372
504,85.010
1288,215.653
840,141.519
