op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,68034.518,12576.509,0.062,224.000,743.312,280.070,671.930,1744.000
enc-1st-layernorm,1386.380,4124.147,224.000,448.000,0.000,224.062,0.000,896.000
enc-attention-qkv,98822.564,146355.802,448.000,560.000,294.000,336.000,336.000,560.000
enc-attention-score,12554.085,19361.949,560.000,2128.000,0.000,1792.000,1792.000,336.000
enc-attention-softmax,24563.378,41513.181,2128.000,2128.000,0.000,1792.000,1792.000,3584.000
enc-attention-dropout,8087.009,7536.310,2128.000,2128.000,0.000,2240.000,0.000,3584.000
enc-attention-context,10885.823,21015.769,2128.000,336.000,0.000,112.000,112.000,1904.000
enc-attention-dense,84962.416,30067.837,336.000,448.027,98.000,224.000,0.000,336.000
enc-post-attention-dropout,3086.883,1786.691,448.027,224.000,0.000,280.000,224.000,448.000
enc-2nd-layernorm,1250.362,4109.341,224.000,448.000,0.000,224.062,0.000,896.000
enc-MLP-GEMM-1,132896.066,173827.046,448.000,672.055,392.000,448.000,0.000,672.000
enc-MLP-gelu,1807.302,3298.420,672.055,672.000,0.000,448.000,0.000,952.000
enc-MLP-GEMM-2,184364.241,121019.799,672.000,448.027,392.000,224.000,0.000,672.000
enc-post-MLP-dropout,3084.654,1790.923,448.027,224.000,0.000,280.000,224.000,448.000
final-layernorm,2080.011,2887.815,224.000,224.000,0.000,448.062,0.000,448.000
gpt-post-process,222198.170,267373.967,224.000,0.000,687.312,786.102,0.000,0.000
