data_size(MB),time(ms)
70,12.720
56,10.209
112,20.257
168,30.303
224,40.329
896,160.983
1008,181.095
1120,201.221
280,48.419
392,66.898
84,15.240
140,25.288
448,80.543
532,95.774
560,100.639
28,5.168
196,33.654
42,7.714
98,17.756
294,52.962
14,2.661
336,60.450
154,26.814
21,3.918
77,13.984
175,31.541
7,1.398
63,11.479
50,8.867
161,27.989
105,18.972
133,23.213
49,8.961
1792,321.946
2016,362.110
2240,402.330
786,132.914
1064,191.289
588,105.798
672,120.745
308,53.225
350,63.003
126,22.725
322,55.638
210,37.895
266,46.023
3584,643.784
4032,724.119
4480,1000000000.000
1572,273.054
2128,382.259
784,136.805
1176,211.322
1344,241.456
616,106.960
700,125.885
252,45.432
644,111.882
420,75.642
7168,1000000000.000
8064,1000000000.000
10000000,1000000000.000
3142,544.979
4256,1000000000.000
1568,273.750
2352,422.434
2688,482.954
1232,213.693
1400,251.598
504,90.697
1288,223.665
840,151.061
