data_size(MB),time(ms)
10,3.242
8,2.677
16,5.139
24,7.650
32,10.193
256,81.142
272,86.273
320,101.526
40,12.656
392,123.124
12,3.887
20,6.423
128,40.669
140,44.476
160,50.815
4,1.339
196,61.652
144,45.701
28,8.948
6,1.969
14,4.520
64,20.385
74,23.549
80,25.472
2,0.701
98,31.150
22,7.009
3,1.011
11,3.544
41,13.090
1,0.379
9,2.924
50,15.761
48,15.310
23,7.331
15,4.827
19,6.055
7,2.312
512,162.444
544,172.529
640,202.993
786,246.357
280,87.906
288,91.390
56,17.846
148,47.008
44,13.880
82,26.067
18,5.766
96,30.476
46,14.497
30,9.594
38,12.022
1024,324.612
1088,344.978
1280,405.832
1572,492.597
560,177.704
576,182.714
112,35.618
296,93.943
88,27.611
164,52.088
36,11.579
192,60.992
92,28.860
60,19.116
76,23.864
2048,649.219
2176,689.499
2560,811.234
3142,1000000.000
1120,355.286
1152,365.109
224,71.095
592,187.769
176,55.198
328,104.083
72,22.900
384,121.793
184,57.648
120,38.148
152,47.761
