data_size(MB),time(ms)
6,9.059
4,6.051
8,12.786
12,18.670
16,24.302
128,190.380
136,202.302
192,285.434
20,44.491
392,894.305
10,15.700
64,95.149
70,104.850
96,142.804
2,3.065
196,447.308
72,107.193
14,20.926
3,5.811
7,10.509
32,47.682
37,55.101
48,71.516
1,1.561
5,7.514
98,223.429
40,59.701
11,16.446
24,36.508
0,0.815
50,114.277
9,18.323
256,380.772
272,404.413
384,571.058
786,1000000000.000
140,319.408
144,214.206
28,41.736
74,110.140
80,153.979
22,32.841
41,61.048
23,34.334
15,22.370
19,37.061
512,761.512
544,1000000000.000
768,1000000000.000
1572,1000000000.000
280,416.394
288,428.240
56,83.293
148,220.097
160,238.061
44,65.604
82,121.999
18,26.900
46,68.510
30,45.367
38,57.365
1024,1000000000.000
1088,1000000000.000
1536,1000000000.000
3142,1000000000.000
560,1000000000.000
576,1000000000.000
112,166.585
296,440.256
320,475.719
88,131.008
164,243.804
36,53.623
92,136.965
60,89.267
76,144.984
