data_size(MB),time(ms)
15,22.370
10,15.700
20,44.491
30,45.367
40,59.701
256,380.772
276,410.095
384,571.058
50,114.277
1002,1000000000.000
25,37.355
128,190.380
143,215.075
192,285.434
5,7.514
502,1140.529
148,220.097
35,52.110
7,10.509
17,26.117
64,95.149
76,144.984
96,142.804
2,3.065
12,18.670
250,571.581
84,125.026
27,62.859
13,20.534
32,47.682
43,64.380
48,71.516
1,1.561
11,16.446
126,187.388
52,78.158
28,41.736
18,26.900
23,34.334
8,12.786
60,89.267
80,153.979
512,761.512
552,1000000000.000
768,1000000000.000
100,228.657
2004,1000000000.000
286,425.138
296,440.256
70,104.850
153,227.565
168,249.938
55,126.030
86,128.696
22,32.841
104,154.570
57,131.711
37,55.101
47,70.759
120,179.566
160,238.061
1024,1000000000.000
1104,1000000000.000
1536,1000000000.000
200,456.618
4008,1000000000.000
572,1000000000.000
592,1000000000.000
140,319.408
306,454.787
336,499.500
110,251.203
173,257.318
45,66.953
208,309.144
115,262.555
75,112.664
95,141.275
240,356.881
320,475.719
2048,1000000000.000
2208,1000000000.000
3072,1000000000.000
400,911.428
8016,1000000000.000
1144,1000000000.000
1184,1000000000.000
280,416.394
612,1000000000.000
672,1000000000.000
220,501.751
346,514.364
90,133.867
416,618.132
230,523.618
150,223.838
190,282.287
