data_size(MB),time(ms)
15,2.199
10,1.734
20,3.966
30,4.344
40,5.779
256,36.105
276,45.548
384,61.868
50,9.984
1002,195.068
25,4.111
128,17.960
143,20.555
192,26.891
5,0.851
502,97.745
148,21.223
35,5.413
7,1.064
17,2.952
64,9.029
76,14.827
96,13.493
2,0.439
12,1.877
250,48.833
84,12.684
27,5.497
13,2.143
32,4.546
43,7.168
48,6.776
1,0.292
11,2.241
126,18.035
52,7.746
28,4.322
18,2.952
23,4.573
8,1.190
60,8.825
80,16.020
512,71.771
552,86.413
768,108.211
100,19.531
2004,389.890
286,43.172
296,41.557
70,10.052
153,24.783
168,23.712
55,10.868
86,12.238
22,4.374
104,14.685
57,11.413
37,5.494
47,9.375
120,17.039
160,22.416
1024,147.522
1104,173.587
1536,227.550
200,39.287
4008,779.598
572,93.342
592,94.951
140,27.308
306,44.154
336,52.316
110,21.496
173,25.019
45,6.566
208,29.642
115,22.431
75,11.804
95,18.677
240,33.938
320,44.844
2048,338.161
2208,364.224
3072,507.954
400,78.151
8016,1000000000.000
1144,185.733
1184,195.126
280,39.970
612,100.591
672,106.429
220,42.982
346,55.999
90,14.176
416,64.652
230,44.790
150,21.883
190,37.001
