data_size(MB),time(ms)
6,0.910
4,0.625
8,1.214
12,1.483
16,1.943
128,14.632
136,15.673
192,22.037
20,2.290
392,43.085
10,1.244
64,7.316
70,7.992
96,10.997
2,0.355
196,21.567
72,8.282
14,1.604
3,0.556
7,1.074
32,3.689
37,4.271
48,5.570
1,0.221
5,0.775
98,10.829
40,4.604
11,1.313
24,2.815
0,0.154
50,5.578
9,1.150
256,28.666
272,31.111
384,43.080
786,86.191
140,15.415
144,16.420
28,3.258
74,8.571
80,8.911
22,2.499
41,4.716
23,2.615
15,1.747
19,2.183
512,58.505
544,62.062
768,87.446
1572,171.765
280,32.008
288,33.228
56,6.438
148,17.007
160,18.515
44,4.896
82,9.413
18,2.088
46,5.114
30,3.436
38,4.417
1024,115.602
1088,125.415
1536,175.371
3142,1000000000.000
560,63.236
576,65.318
112,12.856
296,34.130
320,36.568
88,9.679
164,18.639
36,4.161
92,10.123
60,6.815
76,8.360
