data_size(MB),time(ms)
15,0.249
10,0.213
20,0.510
30,0.407
40,0.497
256,2.297
276,2.479
384,3.382
50,1.059
1002,15.926
25,0.365
128,1.348
143,1.345
192,1.757
5,0.166
502,8.040
148,1.388
35,0.456
7,0.181
17,0.315
64,0.729
76,0.867
96,1.052
2,0.139
12,0.240
250,4.038
84,0.971
27,0.647
60,0.692
80,0.886
512,4.448
552,4.834
768,6.635
100,1.999
2004,31.507
286,2.558
296,2.639
70,0.789
153,1.436
168,1.553
55,1.151
120,1.276
160,1.492
1024,8.767
1104,9.464
1536,13.098
200,3.238
4008,1000000000.000
572,4.976
592,5.142
140,2.358
306,2.723
336,2.990
110,2.185
240,2.173
320,2.838
2048,17.408
2208,1000000000.000
3072,1000000000.000
400,6.402
10000000,1000000000.000
1144,9.799
1184,10.127
280,2.501
612,5.293
672,5.823
220,3.546
