data_size(MB),time(ms)
6,0.329
4,0.423
8,0.901
12,0.444
16,0.726
128,2.660
136,2.811
192,3.896
20,0.692
392,7.816
10,0.833
64,1.930
70,2.109
96,2.049
2,0.181
196,3.986
72,2.172
14,0.680
3,0.234
7,0.762
32,1.005
37,1.148
48,1.462
1,0.430
5,0.674
98,2.169
40,1.228
11,0.399
24,1.148
256,5.100
272,5.429
384,7.605
786,15.533
140,2.890
144,2.976
28,0.895
74,2.273
80,2.414
22,0.723
512,10.091
544,10.729
768,15.114
1572,30.859
280,5.586
288,5.725
56,1.693
148,3.062
160,3.271
44,1.345
1024,20.125
1088,21.385
1536,30.362
3142,61.662
560,11.071
576,11.350
112,2.369
296,5.896
320,6.395
88,1.858
