data_size(MB),time(ms)
42,0.582
28,0.443
56,0.710
84,0.971
112,1.204
448,3.915
504,4.389
672,5.823
140,2.358
392,6.293
70,0.789
224,2.031
266,2.395
336,2.990
14,0.272
196,3.153
280,2.501
98,1.974
21,0.324
49,0.582
147,1.375
168,1.553
7,0.181
35,0.456
77,1.573
896,7.720
1008,8.655
1344,11.460
786,12.497
532,4.618
560,4.872
294,2.610
154,2.490
1792,15.241
2016,17.131
2688,1000000000.000
1572,24.773
1064,9.111
1120,9.577
588,5.089
308,4.965
10000000,1000000000.000
4032,1000000000.000
3142,1000000000.000
2128,1000000000.000
2240,1000000000.000
784,12.494
1176,10.062
616,9.809
