data_size(MB),time(ms)
42,1.285
28,0.895
56,1.693
84,2.511
112,2.369
448,8.867
504,10.009
672,13.285
140,2.890
392,7.816
70,2.109
224,4.463
266,5.332
336,6.660
14,0.680
196,3.986
280,5.586
98,2.169
21,0.736
49,1.496
147,3.053
168,3.401
7,0.762
35,1.121
77,2.333
896,17.692
1008,19.854
1344,26.371
786,15.533
532,10.518
560,11.071
294,5.918
154,3.235
1792,35.167
2016,39.531
2688,52.863
1572,30.859
1064,21.011
1120,22.002
588,11.580
308,6.114
10000000,1000000000.000
4032,79.079
3142,61.662
2128,41.742
2240,43.898
784,15.419
1176,23.162
616,12.133
