data_size(MB),time(ms)
42,0.943
28,0.671
56,1.190
84,1.698
112,2.197
448,8.253
504,9.239
672,12.144
140,2.728
392,8.405
70,1.458
224,4.259
266,4.974
336,6.259
14,0.978
196,4.320
280,5.241
98,2.645
21,0.743
49,1.072
147,2.846
168,3.194
7,0.320
35,1.004
77,2.102
896,16.092
1008,17.926
1344,23.673
786,16.568
532,9.748
560,10.178
294,5.493
154,3.975
1792,31.327
2016,35.045
2688,46.411
1572,37.489
1064,18.975
1120,19.963
588,10.727
308,7.868
10000000,1000000000.000
4032,69.023
3142,74.731
2128,37.068
2240,38.833
784,18.912
1176,20.878
616,14.954
