data_size(MB),time(ms)
15,0.517
10,0.833
20,0.692
30,1.092
40,1.228
256,5.100
276,5.538
384,7.605
50,1.532
1002,19.757
25,0.924
128,2.660
143,2.950
192,3.896
5,0.674
502,9.940
148,3.062
35,1.121
7,0.762
17,0.821
64,1.930
76,2.316
96,2.049
2,0.181
12,0.444
250,5.017
84,2.511
27,0.881
60,1.809
80,2.414
512,10.091
552,10.887
768,15.114
100,2.140
2004,39.393
286,5.720
296,5.896
70,2.109
153,3.165
168,3.401
55,1.668
120,2.523
160,3.271
1024,20.125
1104,21.688
1536,30.362
200,4.020
4008,78.664
572,11.260
592,11.682
140,2.890
306,6.097
336,6.660
110,2.343
240,4.786
320,6.395
2048,40.276
2208,43.266
3072,60.303
400,7.941
10000000,1000000000.000
1144,22.528
1184,23.246
280,5.586
612,12.042
672,13.285
220,4.389
