data_size(MB),time(ms)
15,0.181
10,0.194
20,0.230
30,0.226
40,0.290
256,1.011
276,1.036
384,1.435
50,0.341
1002,3.927
25,0.257
128,0.639
143,0.608
192,0.781
5,0.189
502,2.096
148,0.656
35,0.337
7,0.177
17,0.192
64,0.371
76,0.386
96,0.471
2,0.188
12,0.194
250,1.125
84,0.417
27,0.251
60,0.329
80,0.412
512,1.818
552,1.964
768,2.627
100,0.580
2004,7.702
286,1.158
296,1.179
70,0.368
153,0.711
168,0.702
55,0.430
120,0.604
160,0.700
1024,3.495
1104,3.755
1536,5.128
200,0.956
4008,15.058
572,2.012
592,2.081
140,0.615
306,1.139
336,1.254
110,0.584
240,0.924
320,1.372
2048,6.778
2208,7.221
3072,9.951
400,1.711
8016,1000000000.000
1144,3.863
1184,4.043
280,1.082
612,2.131
672,2.317
220,1.015
