data_size(MB),time(ms)
15,0.293
10,0.197
20,0.470
30,0.482
40,0.606
256,3.285
276,3.487
384,4.801
50,1.053
1002,18.906
25,0.416
128,1.704
143,1.910
192,2.497
5,0.133
502,9.496
148,1.991
35,0.530
7,0.159
17,0.307
64,0.898
76,1.060
96,1.303
2,0.116
12,0.240
250,4.807
84,1.153
27,0.621
60,0.874
80,1.117
512,6.326
552,6.788
768,9.377
100,1.974
2004,37.413
286,3.615
296,3.789
70,1.008
153,2.009
168,2.201
55,1.142
120,1.604
160,2.140
1024,12.412
1104,13.182
1536,18.322
200,3.855
4008,1000000000.000
572,7.018
592,7.329
140,2.732
306,3.877
336,4.262
110,2.170
240,3.075
320,4.067
2048,24.102
2208,1000000000.000
3072,1000000000.000
400,7.626
8016,1000000000.000
1144,13.630
1184,14.251
280,3.569
612,7.492
672,8.162
220,4.237
