data_size(MB),time(ms)
6,0.146
4,0.145
8,0.150
12,0.182
16,0.205
128,0.927
136,0.812
192,1.096
20,0.342
400,4.134
7,0.130
10,0.159
64,0.533
70,0.550
96,0.720
2,0.117
200,2.112
72,0.565
14,0.197
3,0.128
32,0.306
37,0.334
48,0.412
1,0.116
5,0.130
100,1.319
40,0.359
11,0.217
24,0.254
256,1.421
272,1.498
384,2.074
800,8.258
13,0.183
140,1.496
25,0.262
144,0.841
28,0.290
74,0.573
80,0.636
22,0.354
512,2.734
544,2.889
768,4.028
1600,16.144
280,1.551
288,1.582
56,0.458
148,0.873
160,0.936
44,0.641
1024,5.336
1088,5.657
1536,7.957
3200,1000000000.000
560,2.961
576,3.061
112,0.811
296,1.624
320,1.751
88,1.182
