data_size(MB),time(ms)
6,0.185
4,0.190
8,0.193
12,0.194
16,0.204
128,0.639
136,0.603
192,0.781
20,0.230
400,1.711
7,0.177
10,0.194
64,0.371
70,0.368
96,0.471
2,0.188
200,0.956
72,0.393
14,0.225
3,0.182
32,0.259
37,0.276
48,0.330
1,0.191
5,0.189
100,0.580
40,0.290
11,0.198
24,0.229
256,1.011
272,1.073
384,1.435
800,3.230
13,0.224
140,0.615
25,0.257
144,0.632
28,0.232
74,0.395
80,0.412
22,0.239
512,1.818
544,1.928
768,2.627
1600,6.332
280,1.082
288,1.081
56,0.352
148,0.656
160,0.700
44,0.348
1024,3.495
1088,3.715
1536,5.128
3200,12.143
560,2.020
576,2.076
112,0.513
296,1.179
320,1.372
88,0.517
