data_size(MB),time(ms)
6,0.168
4,0.166
8,0.211
12,0.259
16,0.323
128,1.747
136,1.868
192,2.528
20,0.490
400,7.540
7,0.178
10,0.278
64,0.932
70,1.023
96,1.321
2,0.142
200,3.850
72,1.019
14,0.272
3,0.141
32,0.517
37,0.583
48,0.713
1,0.147
5,0.157
100,2.012
40,0.620
11,0.252
24,0.424
256,3.402
272,3.563
384,4.917
800,14.618
13,0.268
140,2.725
25,0.433
144,1.923
28,0.460
74,1.055
80,1.130
22,0.393
512,6.593
544,7.073
768,9.691
1600,1000000000.000
280,3.716
288,3.726
56,0.830
148,2.035
160,2.175
44,0.681
1024,13.227
1088,1000000000.000
1536,1000000000.000
3200,1000000000.000
560,7.189
576,7.297
112,1.564
296,3.905
320,4.175
88,1.257
