data_size(MB),time(ms)
15,0.210
10,0.158
20,0.264
30,0.361
40,0.459
256,2.510
276,2.654
384,3.682
50,0.553
1002,8.946
25,0.314
128,1.330
143,1.443
192,1.920
5,0.105
502,4.607
148,1.507
35,0.417
7,0.129
17,0.229
64,0.698
76,0.808
96,1.009
2,0.079
12,0.179
250,2.401
84,0.889
27,0.334
60,0.648
80,0.854
512,4.819
552,5.169
768,7.117
100,1.055
2004,18.110
286,2.767
296,2.884
70,0.754
153,1.561
168,1.690
55,0.613
120,1.240
160,1.622
1024,9.438
1104,10.075
1536,13.924
200,1.973
4008,35.864
572,5.326
592,5.500
140,1.422
306,2.932
336,3.238
110,1.148
240,2.340
320,3.100
2048,18.423
2208,19.875
3072,27.434
400,3.737
8016,1000000000.000
1144,10.424
1184,10.685
280,2.721
612,5.734
672,6.263
220,2.168
