data_size(MB),time(ms)
15,0.284
10,0.247
20,0.354
30,0.373
40,0.440
256,1.837
276,1.968
384,2.644
50,0.608
1002,7.489
25,0.340
128,1.046
143,1.141
192,1.452
5,0.237
502,3.938
148,1.168
35,0.406
7,0.248
17,0.250
64,0.608
76,0.654
96,0.826
2,0.233
12,0.263
250,2.102
84,0.741
27,0.354
60,0.543
80,0.704
512,3.417
552,3.572
768,4.940
100,1.033
2004,14.478
286,2.017
296,2.101
70,0.642
153,1.187
168,1.284
55,0.647
120,0.970
160,1.240
1024,6.445
1104,6.848
1536,9.415
200,1.793
4008,28.536
572,3.742
592,3.822
140,1.390
306,2.138
336,2.323
110,1.106
240,1.736
320,2.231
2048,12.447
2208,13.404
3072,18.230
400,3.263
8016,1000000000.000
1144,7.064
1184,7.331
280,1.997
612,3.989
672,4.336
220,1.964
