data_size(MB),time(ms)
70,0.747
56,0.607
112,1.154
168,1.687
224,2.220
896,8.244
1008,9.325
1120,10.320
280,2.664
400,3.714
84,0.888
140,1.424
448,4.269
532,5.018
560,5.269
28,0.328
200,1.963
196,1.934
42,0.473
98,1.031
294,2.862
14,0.192
100,1.055
336,3.238
154,1.558
1792,16.276
2016,18.268
2240,20.385
800,7.493
1064,9.806
392,3.651
588,5.538
672,6.257
308,2.996
3584,32.384
4032,36.368
4480,1000000000.000
1600,14.655
2128,19.282
784,7.058
1176,10.745
1344,12.303
616,5.814
7168,1000000000.000
8064,1000000000.000
8960,1000000000.000
3200,28.125
4256,1000000000.000
1568,13.898
2352,21.282
2688,24.263
1232,11.352
