data_size(MB),time(ms)
70,0.611
56,0.505
112,0.886
168,1.253
224,1.618
896,5.659
1008,6.283
1120,6.934
280,2.009
400,2.602
84,0.705
140,1.071
448,2.988
532,3.505
560,3.646
28,0.315
200,1.436
196,1.444
42,0.474
98,0.861
294,2.122
14,0.303
100,0.890
336,2.374
154,1.304
1792,10.720
2016,12.057
2240,13.332
800,4.995
1064,6.670
392,2.728
588,3.892
672,4.403
308,2.269
3584,20.923
4032,23.261
4480,1000000000.000
1600,9.912
2128,12.761
784,5.096
1176,7.296
1344,8.342
616,3.969
7168,1000000000.000
8064,1000000000.000
8960,1000000000.000
3200,19.065
4256,1000000000.000
1568,9.688
2352,14.058
2688,15.707
1232,7.513
