data_size(MB),time(ms)
10,0.161
8,0.147
16,0.195
24,0.257
32,0.314
256,1.413
272,1.498
320,1.738
40,0.601
400,2.143
12,0.172
20,0.225
128,0.912
140,0.800
160,0.927
4,0.125
200,1.126
144,0.855
28,0.268
7,0.140
14,0.172
64,0.511
74,0.572
80,0.613
2,0.119
100,0.731
22,0.291
6,0.132
48,0.477
512,2.718
544,2.881
640,3.366
800,4.196
280,2.935
288,1.580
56,0.443
148,0.866
44,0.391
96,0.720
1024,5.324
1088,5.652
1280,6.621
1600,16.121
560,2.935
576,3.039
112,0.798
296,1.617
88,0.666
192,1.086
2048,10.529
2176,1000000000.000
2560,1000000000.000
3200,1000000000.000
1120,5.784
1152,5.942
224,1.233
592,3.104
176,0.992
