data_size(MB),time(ms)
10,0.115
8,0.103
16,0.136
24,0.176
32,0.217
256,1.267
272,1.342
320,1.566
40,0.256
400,1.943
12,0.115
20,0.154
128,0.673
140,0.722
160,0.813
4,0.080
200,1.023
144,0.750
28,0.191
7,0.094
14,0.123
64,0.371
74,0.420
80,0.448
2,0.069
100,0.533
22,0.164
6,0.086
48,0.286
512,2.444
544,2.604
640,3.047
800,3.803
280,1.377
288,1.400
56,0.326
148,0.757
44,0.265
96,0.509
1024,4.842
1088,5.097
1280,5.981
1600,7.469
560,2.674
576,2.717
112,0.593
296,1.456
88,0.485
192,0.950
2048,9.551
2176,10.214
2560,12.000
3200,14.897
1120,5.273
1152,5.365
224,1.111
592,2.843
176,0.884
