data_size(MB),time(ms)
6,0.202
4,0.206
8,0.212
12,0.212
16,0.230
128,0.768
136,0.804
192,1.052
20,0.432
392,4.932
10,0.210
64,0.460
70,0.483
96,0.599
2,0.202
196,2.576
72,0.484
14,0.230
3,0.205
7,0.210
32,0.305
37,0.340
48,0.374
1,0.204
5,0.206
98,1.367
40,0.342
11,0.301
24,0.261
256,1.369
272,1.488
384,1.960
786,9.640
140,2.049
144,0.843
28,0.286
74,0.502
80,0.531
22,0.466
512,2.571
544,2.729
768,3.755
1572,19.389
280,1.494
288,1.543
56,0.427
148,0.867
160,0.921
44,0.773
1024,4.969
1088,5.224
1536,7.254
3142,39.078
560,2.794
576,2.852
112,0.690
296,1.573
320,1.679
88,1.343
