data_size(MB),time(ms)
15,0.168
10,0.141
20,0.195
30,0.249
40,0.331
256,1.529
276,1.625
384,2.204
50,0.379
1002,5.404
25,0.225
128,0.817
143,0.902
192,1.155
5,0.102
502,2.863
148,0.931
35,0.286
7,0.121
17,0.177
64,0.448
76,0.515
96,0.616
2,0.088
12,0.159
250,1.495
84,0.562
27,0.239
60,0.425
80,0.544
512,2.929
552,3.095
768,4.208
100,0.667
2004,10.469
286,1.707
296,1.769
70,0.482
153,0.952
168,1.032
55,0.408
120,0.769
160,0.997
1024,5.504
1104,5.967
1536,8.103
200,1.237
4008,20.435
572,3.234
592,3.355
140,0.892
306,1.799
336,1.952
110,0.727
240,1.434
320,1.898
2048,10.734
2208,11.409
3072,15.756
400,2.333
8016,1000000000.000
1144,6.180
1184,6.352
280,1.664
612,3.437
672,3.703
220,1.332
