data_size(MB),time(ms)
6,0.181
4,0.168
8,0.212
12,0.253
16,0.320
128,1.608
136,1.671
192,2.188
20,0.456
392,6.043
10,0.216
64,0.809
70,0.904
96,1.189
2,0.157
196,3.190
72,0.937
14,0.254
3,0.157
7,0.186
32,0.487
37,0.556
48,0.665
1,0.159
5,0.163
98,1.696
40,0.594
11,0.233
24,0.375
256,2.716
272,2.901
384,3.932
786,11.623
140,2.474
144,1.663
28,0.440
74,0.946
80,1.025
22,0.372
512,5.191
544,5.463
768,7.576
1572,23.070
280,2.932
288,3.015
56,0.768
148,1.637
160,1.751
44,0.630
1024,10.010
1088,10.737
1536,14.805
3142,1000000000.000
560,5.644
576,5.774
112,1.337
296,3.130
320,3.356
88,1.094
