data_size(MB),time(ms)
15,0.290
10,0.216
20,0.456
30,0.447
40,0.594
256,2.716
276,3.162
384,3.932
50,0.963
1002,14.994
25,0.373
128,1.608
143,1.635
192,2.188
5,0.163
502,7.730
148,1.637
35,0.512
7,0.186
17,0.297
64,0.809
76,0.923
96,1.189
2,0.157
12,0.253
250,3.981
84,1.060
27,0.574
60,0.735
80,1.025
512,5.191
552,5.501
768,7.576
100,1.750
2004,28.989
286,2.982
296,3.130
70,0.904
153,1.683
168,1.890
55,1.035
120,1.346
160,1.751
1024,10.010
1104,10.721
1536,14.805
200,3.269
4008,1000000000.000
572,5.806
592,5.896
140,2.474
306,3.205
336,3.473
110,1.942
240,2.549
320,3.356
2048,19.779
2208,1000000000.000
3072,1000000000.000
400,6.178
8016,1000000000.000
1144,11.104
1184,11.598
280,2.932
612,6.063
672,6.614
220,3.663
