data_size(MB),time(ms)
42,0.329
28,0.241
56,0.421
84,0.562
112,0.740
448,2.590
504,2.850
672,3.703
140,0.892
392,2.294
70,0.482
224,1.359
266,1.590
336,1.952
14,0.171
196,1.218
280,1.664
98,0.655
21,0.196
49,0.377
147,0.918
168,1.032
7,0.121
35,0.286
77,0.520
896,4.956
1008,5.480
1344,7.016
786,4.389
532,3.014
560,3.183
294,1.749
154,0.973
1792,9.442
2016,10.479
2688,13.835
1572,8.323
1064,5.833
1120,5.999
588,3.299
308,1.829
3584,18.436
4032,20.503
5376,1000000000.000
3142,16.136
2128,11.148
2240,11.698
784,4.356
1176,6.365
616,3.441
