data_size(MB),time(ms)
25,0.274
20,0.253
40,0.354
60,0.436
80,0.561
512,2.584
552,2.763
640,3.195
100,0.663
1002,4.887
30,0.289
50,0.392
256,1.383
286,1.521
320,1.685
10,0.228
502,2.559
296,1.581
70,0.484
15,0.233
35,0.319
128,0.770
153,0.905
160,0.924
5,0.207
250,1.363
168,0.955
55,0.438
120,0.729
1024,4.998
1104,5.323
1280,6.139
200,1.173
2004,9.433
572,2.878
592,2.969
140,0.836
306,1.619
336,1.748
110,0.713
240,1.297
2048,9.579
2208,10.278
2560,11.892
400,2.175
4008,19.481
1144,5.537
1184,5.741
280,1.567
612,3.038
672,3.316
220,1.267
480,2.437
4096,18.750
4416,1000000000.000
5120,1000000000.000
800,4.098
8016,1000000000.000
2288,10.663
2368,11.066
560,2.806
1224,5.866
1344,6.420
440,2.340
