data_size(MB),time(ms)
25,0.424
20,0.326
40,0.802
60,0.792
80,1.009
512,5.169
552,5.785
640,6.377
100,1.717
1002,14.880
30,0.447
50,0.662
256,2.840
286,2.967
320,3.361
10,0.235
502,7.697
296,3.134
70,0.916
15,0.263
35,0.524
128,1.491
153,1.701
160,1.754
5,0.175
250,3.949
168,2.005
55,1.034
120,1.385
1024,9.983
1104,10.704
1280,12.510
200,3.242
2004,28.969
572,5.807
592,5.914
140,1.658
306,3.203
336,3.492
110,1.943
240,2.569
2048,19.763
2208,1000000000.000
2560,1000000000.000
400,6.145
4008,1000000000.000
1144,11.085
1184,11.594
280,4.771
612,6.070
672,6.638
220,3.745
480,4.823
4096,1000000000.000
4416,1000000000.000
5120,1000000000.000
800,12.013
8016,1000000000.000
2288,1000000000.000
2368,1000000000.000
560,5.719
1224,11.824
1344,12.955
440,6.630
