data_size(MB),time(ms)
25,0.298
20,0.243
40,0.408
60,0.568
80,0.743
512,3.820
552,4.075
640,4.717
100,0.879
1002,7.239
30,0.314
50,0.487
256,2.040
286,2.236
320,2.450
10,0.166
502,3.759
296,2.281
70,0.642
15,0.244
35,0.410
128,1.069
153,1.277
160,1.311
5,0.119
250,1.949
168,1.335
55,0.516
120,0.991
1024,7.367
1104,7.869
1280,9.106
200,1.608
2004,14.040
572,4.242
592,4.408
140,1.192
306,2.380
336,2.548
110,0.959
240,1.880
2048,14.303
2208,15.345
2560,17.813
400,3.059
4008,27.609
1144,8.181
1184,8.522
280,2.172
612,4.544
672,4.915
220,1.770
480,3.576
4096,28.268
4416,1000000000.000
5120,1000000000.000
800,5.873
8016,1000000000.000
2288,15.962
2368,16.542
560,4.146
1224,8.738
1344,9.512
440,3.318
