data_size(MB),time(ms)
25,0.264
20,0.246
40,0.326
60,0.419
80,0.499
512,2.226
552,2.358
640,2.679
100,0.762
1002,5.787
30,0.286
50,0.383
256,1.221
286,1.321
320,1.464
10,0.191
502,3.174
296,1.354
70,0.470
15,0.223
35,0.312
128,0.705
153,0.798
160,0.826
5,0.172
250,1.671
168,0.872
55,0.482
120,0.662
1024,4.115
1104,1000000000.000
1280,1000000000.000
200,1.368
2004,1000000000.000
572,2.434
592,2.503
140,0.744
306,1.414
336,1.517
110,0.817
240,1.145
2048,1000000000.000
2208,1000000000.000
2560,1000000000.000
400,2.544
4008,1000000000.000
1144,1000000000.000
1184,1000000000.000
280,1.836
612,2.593
672,2.804
220,1.473
480,2.086
4096,1000000000.000
4416,1000000000.000
5120,1000000000.000
800,4.930
8016,1000000000.000
2288,1000000000.000
2368,1000000000.000
560,2.390
1224,1000000000.000
1344,1000000000.000
440,2.769
