data_size(MB),time(ms)
25,0.218
20,0.198
40,0.345
60,0.332
80,0.404
512,1.840
552,1.833
640,2.102
100,0.687
1002,3.178
30,0.232
50,0.300
256,0.989
286,1.105
320,1.207
10,0.154
502,1.825
296,1.140
70,0.381
15,0.183
35,0.246
128,0.572
153,0.653
160,0.681
5,0.144
250,1.000
168,0.710
55,0.431
120,0.543
1024,3.210
1104,3.467
1280,3.993
200,1.245
2004,6.155
572,1.897
592,1.949
140,0.605
306,1.166
336,1.262
110,0.737
240,0.945
2048,6.251
2208,1000000000.000
2560,1000000000.000
400,2.356
4008,1000000000.000
1144,3.565
1184,3.691
280,1.689
612,2.023
672,2.178
220,1.360
480,1.738
4096,1000000000.000
4416,1000000000.000
5120,1000000000.000
800,4.097
8016,1000000000.000
2288,1000000000.000
2368,1000000000.000
560,1.864
1224,3.810
1344,4.159
440,2.593
