mbs,tp,algo,fwd,bwd,fwd+bwd
1,1,0,0.006326,0.009146,0.015472
1,1,1,0.006278,0.009086,0.015364
1,2,0,0.004064,0.005954,0.010019
1,2,1,0.004883,0.005463,0.010346
1,4,0,0.007215,0.008496,0.015711
1,4,1,0.015101,0.005856,0.020956
1,8,0,0.023625,0.025086,0.048711
1,8,1,0.056669,0.013621,0.070290
2,1,0,0.012163,0.017128,0.029291
2,1,1,0.012285,0.017133,0.029418
2,2,0,0.007445,0.010455,0.017900
2,2,1,0.008965,0.009772,0.018737
2,4,0,0.014100,0.015603,0.029703
2,4,1,0.029698,0.010270,0.039968
2,8,0,0.046678,0.047620,0.094298
2,8,1,0.113911,0.025743,0.139655
4,1,0,0.023779,0.033681,0.057461
4,1,1,0.024098,0.033700,0.057799
4,2,0,0.014311,0.019515,0.033826
4,2,1,0.017302,0.018799,0.036101
4,4,0,0.027139,0.029739,0.056878
4,4,1,0.059395,0.019560,0.078955
4,8,0,0.092791,0.093884,0.186676
4,8,1,0.226969,0.049076,0.276045
8,1,0,0.047537,0.066045,0.113582
8,1,1,0.048051,0.066100,0.114150
8,2,0,0.028146,0.038099,0.066245
8,2,1,0.033651,0.036507,0.070158
8,4,0,0.053776,0.057637,0.111413
8,4,1,0.088437,0.037759,0.126197
8,8,0,0.186524,0.186150,0.372674
8,8,1,0.457911,0.097466,0.555376
